ppn,maa2,jvu,titel,deeltitel,editie,impressum,epn,copy_counter,sgn,mms_id_item,item_policy,mms_id_holding,mms_id,kmc4821,kmc4850
851919006,Aa,1976,"@Archeologie, hoe opgraven? / Keith Branigan ; bewerking [naar het Engels]: Drs R.J. Demarée en P. Stuurman",,,Bussum : Fibula-Van Dishoeck,852567413,1,2359883,23399484340007151,Reading room,22399484350007151,991031740489707151,,
852154127,Aa,1984,@Scherven uit Schandelo : op zoek naar Romeinse villae in het Maasdal / Jos M.W.C. Schatorjé,,,Lomm : Historische Werkgroep Arcen-Lomm-Velden,018552072,1,4620 G 44,23433663990007151,Reading room,22433664000007151,991032026639707151,,
852154127,Aa,1984,@Scherven uit Schandelo : op zoek naar Romeinse villae in het Maasdal / Jos M.W.C. Schatorjé,,,Lomm : Historische Werkgroep Arcen-Lomm-Velden,098055755,2,GE 41122/9-1,23433663970007151,Reading room,22433663980007151,991032026639707151,,
852347170,Aa,1982,"@800 jaar Rokin / samengesteld door de Afdeling Archeologie, Dienst Openbare Werken en het Amsterdams Historisch Museum ; redaktie J.M. Baart",,,Amsterdam : Algemene Bank Nederland N.V.,853374775,1,16003707,23459407390007151,Reading room,22459407400007151,991032234179707151,,
852478232,Aa,1975,@Romeinen in de Randstad : expositie van het Westfries Museum te Hoorn : vervaardigd in samenwerking met het Albert Egges van Giffen Instituut voor Prae- en Protohistorie van de Universiteit van Amsterdam (alsmede de afdeling Velsen van de Archeologische Werkgemeenschap voor Nederland),,,Amsterdam : [Universiteit van Amsterdam],100021301,1,ND 1981/40079,23367207090007151,Reading room,22367207100007151,991032366479707151,,
852492367,Aa,1984,Het @archeologisch bodemonderzoek van de abdijkerksite te Sint-Truiden : (opgravingen 1982) / R. van de Konijnenburg,,,Tongeren : Provinciaal Gallo-Romeins Museum,018387381,1,MCS 239,23361086590007151,Reading room,22361086600007151,991032384189707151,,
852492367,Aa,1984,Het @archeologisch bodemonderzoek van de abdijkerksite te Sint-Truiden : (opgravingen 1982) / R. van de Konijnenburg,,,Tongeren : Provinciaal Gallo-Romeins Museum,098115030,2,NE 1986/60526,23361086570007151,Reading room,22361086580007151,991032384189707151,,
852716052,Aa,1985,@Archeologie en musea in Gelderland,,,Zutphen : Stichting Gelders Oudheidkundig Contact,098157248,1,NE 1985/40754,23448627220007151,Reading room,22448627230007151,991032653029707151,,
852819285,Af,1985,#10#!852819110!@Bovengronds archeologisch veldwerk / G. van Haaff,*(1)*,,[Amersfoort] : ROB,098174770,1,GE 80189/238-1,23382287810007151,Reading room,22382287850007151,991032759759707151,,
852819420,Aa,1985,@Enkele 5de-eeuwse vondsten uit Zuid- en Noord-Nederland / J. Ypey,,,[Amersfoort] : ROB,098174797,1,GE 80189/239-1,23456859820007151,Reading room,22456859830007151,991032759949707151,,
852819900,Aa,1985,"@Besprechung: W. Haarnagel, Die Grabung Feddersen Wierde: Methode, Hausbau, Siedlungs- und Wirtschaftsformen sowie Sozialstruktur, Wiesbaden, 1979 / W.A. van Es",,,Amersfoort : Rijksdienst voor het Oudheidkundig Bodemonderzoek,098175068,1,GE 80189/240-1,23377375520007151,Reading room,22377375550007151,991032760799707151,,
852820151,Aa,1985,@Archeologische luchtkartering van het gebied Eersel-Riethoven-Bergeijk in de Kempen / E. Milikowski,,,[Amersfoort] : ROB,098175122,1,GE 80189/242-1,23402935890007151,Reading room,22402935900007151,991032761279707151,,
